# redshift      Ob
1.867670570316787959e+01 1.577258959622546974e-01
1.867011277406027148e+01 1.577258482081925206e-01
1.866352567051139744e+01 1.577258004323732199e-01
1.865694379353721644e+01 1.577257526305063107e-01
1.865036741337965509e+01 1.577257048046039056e-01
1.864379674989394076e+01 1.577256569563214028e-01
1.863723154823545869e+01 1.577256090838594360e-01
1.863067168161976639e+01 1.577255611863444817e-01
1.862411743762935501e+01 1.577255132659298176e-01
1.861756848712584045e+01 1.577254653202620482e-01
1.861102504579368500e+01 1.577254173509719248e-01
1.860448711979514869e+01 1.577253693581595340e-01
1.859795468201889435e+01 1.577253213416809352e-01
1.859142731237504265e+01 1.577252732984966987e-01
1.858490595576141047e+01 1.577252252356180218e-01
1.857838954370398454e+01 1.577251771452249096e-01
1.857187875221451634e+01 1.577251290323554989e-01
1.856537322019605085e+01 1.577250808943955196e-01
1.855887327721233149e+01 1.577250327338372282e-01
1.855237878833394660e+01 1.577249845497377678e-01
1.854588944809031048e+01 1.577249363398812720e-01
1.853940599188675975e+01 1.577248881097881861e-01
1.853292723872545267e+01 1.577248398507237470e-01
1.852645408604587374e+01 1.577247915694194313e-01
1.851998663251419330e+01 1.577247432666727678e-01
1.851352397720181031e+01 1.577246949358048766e-01
1.850706708395246736e+01 1.577246465840749234e-01
1.850061534338034619e+01 1.577245982069759578e-01
1.849416892976914184e+01 1.577245498058648943e-01
1.848772813597063447e+01 1.577245013829979281e-01
1.848129232289631574e+01 1.577244529336224166e-01
1.847486193882332373e+01 1.577244044611628426e-01
1.846843687732446071e+01 1.577243559648717208e-01
1.846201684384009667e+01 1.577243074425750680e-01
1.845560228370068856e+01 1.577242588976899007e-01
1.844919325494199569e+01 1.577242103307149035e-01
1.844278916083436926e+01 1.577241617371794580e-01
1.843639056164736445e+01 1.577241131213857894e-01
1.842999699301337557e+01 1.577240644798584279e-01
1.842360884542082999e+01 1.577240158156197891e-01
1.841722591203475901e+01 1.577239671271488675e-01
1.841084809618493523e+01 1.577239184137585737e-01
1.840447571988745779e+01 1.577238696779623417e-01
1.839810826443812530e+01 1.577238209158440541e-01
1.839174637345017871e+01 1.577237721323857533e-01
1.838538975932357644e+01 1.577237233254407400e-01
1.837903807231955255e+01 1.577236744923729284e-01
1.837269155723167202e+01 1.577236256351121080e-01
1.836635051589975021e+01 1.577235767560382085e-01
1.836001438243749107e+01 1.577235278508417327e-01
1.835368352556405114e+01 1.577234789224181699e-01
1.834735778125027750e+01 1.577234299695527975e-01
1.834103730098295415e+01 1.577233809934708020e-01
1.833472212125798961e+01 1.577233319945109957e-01
1.832841181183478696e+01 1.577232829693852034e-01
1.832210686657028020e+01 1.577232339219817314e-01
1.831580677025293369e+01 1.577231848483436616e-01
1.830951192003247385e+01 1.577231357516141463e-01
1.830322232418728845e+01 1.577230866319135338e-01
1.829693797321849402e+01 1.577230374892237552e-01
1.829065846120646910e+01 1.577229883204204763e-01
1.828438399809769166e+01 1.577229391271946779e-01
1.827811483592763153e+01 1.577228899115766247e-01
1.827185064134372539e+01 1.577228406710026454e-01
1.826559179688662127e+01 1.577227914085339022e-01
1.825933772072673378e+01 1.577227421196422119e-01
1.825308887680246173e+01 1.577226928080336654e-01
1.824684513900340121e+01 1.577226434727679871e-01
1.824060628953317575e+01 1.577225941121742081e-01
1.823437246690553692e+01 1.577225447273971626e-01
1.822814382344927964e+01 1.577224953196970925e-01
1.822192032582715626e+01 1.577224458888651371e-01
1.821570157228497067e+01 1.577223964317592819e-01
1.820948808362356530e+01 1.577223469525724786e-01
1.820327948377056160e+01 1.577222974483633855e-01
1.819707585701579333e+01 1.577222479198531757e-01
1.819087736008289369e+01 1.577221983683461670e-01
1.818468393442580933e+01 1.577221487934289956e-01
1.817849538640994211e+01 1.577220991936026939e-01
1.817231169654944978e+01 1.577220495687589874e-01
1.816613323501937316e+01 1.577219999219218738e-01
1.815995957961682095e+01 1.577219502497516912e-01
1.815379108189854307e+01 1.577219005551289965e-01
1.814762748139753157e+01 1.577218508360087035e-01
1.814146849644358994e+01 1.577218010901640932e-01
1.813531499167482508e+01 1.577217513246331471e-01
1.812916610356813507e+01 1.577217015324870186e-01
1.812302212902061171e+01 1.577216517161759146e-01
1.811688305318219960e+01 1.577216018756299742e-01
1.811074911762591100e+01 1.577215520128646964e-01
1.810462001886154226e+01 1.577215021254665950e-01
1.809849579221874549e+01 1.577214522137725949e-01
1.809237637324645220e+01 1.577214022773067159e-01
1.808626201567841463e+01 1.577213523181918153e-01
1.808015261079185976e+01 1.577213023355942545e-01
1.807404789775089071e+01 1.577212523274293121e-01
1.806794815004529653e+01 1.577212022959868787e-01
1.806185340504381287e+01 1.577211522416279710e-01
1.805576343004707240e+01 1.577211021624932152e-01
1.804967803349094879e+01 1.577210520570524743e-01
1.804359793833240033e+01 1.577210019313121381e-01
1.803752240870704782e+01 1.577209517792592108e-01
1.803145176604902389e+01 1.577209016035943101e-01
1.802538600639178057e+01 1.577208514043373089e-01
1.801932517528103617e+01 1.577208011819183076e-01
1.801326895564083941e+01 1.577207509337592017e-01
1.800721786288380954e+01 1.577207006641887788e-01
1.800117107317704424e+01 1.577206503664108916e-01
1.799512964396054215e+01 1.577206000492729354e-01
1.798909281067117405e+01 1.577205497064638473e-01
1.798306055739202591e+01 1.577204993378950038e-01
1.797703324236352884e+01 1.577204489466074999e-01
1.797101066778540002e+01 1.577203985310003109e-01
1.796499318992336924e+01 1.577203480941109792e-01
1.795897998083730585e+01 1.577202976290479897e-01
1.795297185018068831e+01 1.577202471426539521e-01
1.794696841365240658e+01 1.577201966317543780e-01
1.794096973404236195e+01 1.577201460969273605e-01
1.793497570283360787e+01 1.577200955373080360e-01
1.792898661509491021e+01 1.577200449554376216e-01
1.792300219967891906e+01 1.577199943490790457e-01
1.791702221880047929e+01 1.577199437162664641e-01
1.791104741532790712e+01 1.577198930633431362e-01
1.790507685847959607e+01 1.577198423824683338e-01
1.789911130884356538e+01 1.577197916801461319e-01
1.789315058612464071e+01 1.577197409549015161e-01
1.788719428929150723e+01 1.577196902033698722e-01
1.788124271378759289e+01 1.577196394281151215e-01
1.787529578039825751e+01 1.577195886285117365e-01
1.786935374847727331e+01 1.577195378068284581e-01
1.786341624598379951e+01 1.577194869599349014e-01
1.785748341758487001e+01 1.577194360891180369e-01
1.785155533232642000e+01 1.577193851950217385e-01
1.784563169807115202e+01 1.577193342751862515e-01
1.783971297034551995e+01 1.577192833335785138e-01
1.783379860302769515e+01 1.577192323655478567e-01
1.782788932308805130e+01 1.577191813774120877e-01
1.782198413499780543e+01 1.577191303606300110e-01
1.781608402000535563e+01 1.577190793237276401e-01
1.781018831049133411e+01 1.577190282609838290e-01
1.780429724687580872e+01 1.577189771745281244e-01
1.779841081404676828e+01 1.577189260642803958e-01
1.779252903014922893e+01 1.577188749304494486e-01
1.778665173419150847e+01 1.577188237716846686e-01
1.778077912348150136e+01 1.577187725897533643e-01
1.777491080828147929e+01 1.577187213813056044e-01
1.776904734373617245e+01 1.577186701512354183e-01
1.776318852154083672e+01 1.577186188977783565e-01
1.775733417626340582e+01 1.577185676195367592e-01
1.775148426412696523e+01 1.577185163161734238e-01
1.774563894753987370e+01 1.577184649891611723e-01
1.773979843709591364e+01 1.577184136404038706e-01
1.773396218077167319e+01 1.577183622650974171e-01
1.772813056537543730e+01 1.577183108666936062e-01
1.772230365209148317e+01 1.577182594457858245e-01
1.771648102671480274e+01 1.577182079987674568e-01
1.771066310833128910e+01 1.577181565293902243e-01
1.770484952611026586e+01 1.577181050344232949e-01
1.769904050468352708e+01 1.577180535159039276e-01
1.769323625119499255e+01 1.577180019757240814e-01
1.768743623062726300e+01 1.577179504091824891e-01
1.768164057510418630e+01 1.577178988174968710e-01
1.767584979334326789e+01 1.577178472052495617e-01
1.767006333004160012e+01 1.577177955675445331e-01
1.766428126969426771e+01 1.577177439051812846e-01
1.765850374402451450e+01 1.577176922193861408e-01
1.765273073597940723e+01 1.577176405100580159e-01
1.764696185248083538e+01 1.577175887737206350e-01
1.764119789327437715e+01 1.577175370175980529e-01
1.763543802497727953e+01 1.577174852342583256e-01
1.762968281949003568e+01 1.577174334288901358e-01
1.762393197088616148e+01 1.577173815987913952e-01
1.761818558208672769e+01 1.577173297449379896e-01
1.761244362497712856e+01 1.577172778671261377e-01
1.760670625058919470e+01 1.577172259667724841e-01
1.760097304174384902e+01 1.577171740401510369e-01
1.759524448700095789e+01 1.577171220917357453e-01
1.758952022411910932e+01 1.577170701182931956e-01
1.758380023742973108e+01 1.577170181197263543e-01
1.757808482952558649e+01 1.577169660988360644e-01
1.757237355707297155e+01 1.577169140516352930e-01
1.756666695406057954e+01 1.577168619830398577e-01
1.756096443458913470e+01 1.577168098877529401e-01
1.755526646248324951e+01 1.577167577700588075e-01
1.754957315346315383e+01 1.577167056310728732e-01
1.754388369740372866e+01 1.577166534634215078e-01
1.753819883797251933e+01 1.577166012739679990e-01
1.753251833840744212e+01 1.577165490605920151e-01
1.752684220422059980e+01 1.577164968233935871e-01
1.752117035038619974e+01 1.577164445616385524e-01
1.751550287020855734e+01 1.577163922762350734e-01
1.750983970820847091e+01 1.577163399667207699e-01
1.750418099784620551e+01 1.577162876343792264e-01
1.749852661399218690e+01 1.577162352781042443e-01
1.749287641090930734e+01 1.577161828965931989e-01
1.748723047652590878e+01 1.577161304907070682e-01
1.748158884019668236e+01 1.577160780607662627e-01
1.747595168498084206e+01 1.577160256085239354e-01
1.747031871417592441e+01 1.577159731312691993e-01
1.746468994093051919e+01 1.577159206291700033e-01
1.745906578257167396e+01 1.577158681061716916e-01
1.745344541390112525e+01 1.577158155546139195e-01
1.744782972416843947e+01 1.577157629828586927e-01
1.744221797529895923e+01 1.577157103840462482e-01
1.743661087117381570e+01 1.577156577648238522e-01
1.743100784598524555e+01 1.577156051199337938e-01
1.742540891606334341e+01 1.577155524495723327e-01
1.741981448955513656e+01 1.577154997576291628e-01
1.741422431272495075e+01 1.577154470417676813e-01
1.740863827054486990e+01 1.577153943009499959e-01
1.740305626460175503e+01 1.577153415342902876e-01
1.739747867663535530e+01 1.577152887454456032e-01
1.739190545668040500e+01 1.577152359339973053e-01
1.738633614019695273e+01 1.577151830955890177e-01
1.738077132801918978e+01 1.577151302359691420e-01
1.737521050905662889e+01 1.577150773503326886e-01
1.736965389891632583e+01 1.577150244407750368e-01
1.736410165555975027e+01 1.577149715088515258e-01
1.735855366015651668e+01 1.577149185534818532e-01
1.735300965565690845e+01 1.577148655722581672e-01
1.734746975710453398e+01 1.577148125663236367e-01
1.734193433811326557e+01 1.577147595393051938e-01
1.733640271477354133e+01 1.577147064846982361e-01
1.733087550336303551e+01 1.577146534084596097e-01
1.732535242722615010e+01 1.577146003079846204e-01
1.731983364183069085e+01 1.577145471848181435e-01
1.731431881851227317e+01 1.577144940358436997e-01
1.730880831200322589e+01 1.577144408645278217e-01
1.730330151189104626e+01 1.577143876650241028e-01
1.729779925558985099e+01 1.577143344454702278e-01
1.729230106964253721e+01 1.577142812013409001e-01
1.728680698568437180e+01 1.577142279329889207e-01
1.728131694774119964e+01 1.577141746399180200e-01
1.727583129471460666e+01 1.577141213254693863e-01
1.727034960050096757e+01 1.577140679855517091e-01
1.726487192301293661e+01 1.577140146207723359e-01
1.725939824655664268e+01 1.577139612310229366e-01
1.725392899061951368e+01 1.577139078204470302e-01
1.724846371809479706e+01 1.577138543848276286e-01
1.724300231338936840e+01 1.577138009230768245e-01
1.723754505523304559e+01 1.577137474379680659e-01
1.723209210084894139e+01 1.577136939310953556e-01
1.722664294210188984e+01 1.577136403975195611e-01
1.722119814619163236e+01 1.577135868428611587e-01
1.721575717976917019e+01 1.577135332619228891e-01
1.721032049808075470e+01 1.577134796592356558e-01
1.720488766208979214e+01 1.577134260305187996e-01
1.719945893063190212e+01 1.577133723783725461e-01
1.719403437674011670e+01 1.577133187035696105e-01
1.718861375779014367e+01 1.577132650037575690e-01
1.718319701998539273e+01 1.577132112784465912e-01
1.717778438317094825e+01 1.577131575298633959e-01
1.717237602477220548e+01 1.577131037598233088e-01
1.716697140690912349e+01 1.577130499630257365e-01
1.716157080975201055e+01 1.577129961423023030e-01
1.715617446261858348e+01 1.577129422999902775e-01
1.715078199309735396e+01 1.577128884324233149e-01
1.714539350599307710e+01 1.577128345406934862e-01
1.714000899098378383e+01 1.577127806247441144e-01
1.713462852016035498e+01 1.577127266853451393e-01
1.712925191037613715e+01 1.577126727207066592e-01
1.712387929860463842e+01 1.577126187322489825e-01
1.711851086974835212e+01 1.577125647218815541e-01
1.711314629801182008e+01 1.577125106863756510e-01
1.710778569034792440e+01 1.577124566268537920e-01
1.710242914737452935e+01 1.577124025443798760e-01
1.709707651106039705e+01 1.577123484374064744e-01
1.709172751230024900e+01 1.577122943032540914e-01
1.708638277094181390e+01 1.577122401482430880e-01
1.708104198769384752e+01 1.577121859693939032e-01
1.707570500773771016e+01 1.577121317651810350e-01
1.707037219702293029e+01 1.577120775393702490e-01
1.706504309803299790e+01 1.577120232873569228e-01
1.705971792544883670e+01 1.577119690113697459e-01
1.705439675655627596e+01 1.577119147122450771e-01
1.704907929664514654e+01 1.577118603870205915e-01
1.704376618861199688e+01 1.577118060423156332e-01
1.703845681827020897e+01 1.577117516719000745e-01
1.703315106526409295e+01 1.577116972745802870e-01
1.702784958598637033e+01 1.577116428571346540e-01
1.702255186467192516e+01 1.577115884143203417e-01
1.701725789785644949e+01 1.577115339461441224e-01
1.701196797191256849e+01 1.577114794555995458e-01
1.700668176200485249e+01 1.577114249393876122e-01
1.700139951285419926e+01 1.577113704000775163e-01
1.699612133272674086e+01 1.577113158388392389e-01
1.699084669996097574e+01 1.577112612503250577e-01
1.698557609122797984e+01 1.577112066395122136e-01
1.698030940354091811e+01 1.577111520053846583e-01
1.697504657414632234e+01 1.577110973473394850e-01
1.696978737320839414e+01 1.577110426630326523e-01
1.696453219838061344e+01 1.577109879566450656e-01
1.695928074152325138e+01 1.577109332250168083e-01
1.695403329756545929e+01 1.577108784712697165e-01
1.694878946210487314e+01 1.577108236912298511e-01
1.694354959804734762e+01 1.577107688887338377e-01
1.693831368966657536e+01 1.577107140636689331e-01
1.693308134731217507e+01 1.577106592119998096e-01
1.692785279028912981e+01 1.577106043360669563e-01
1.692262841802028461e+01 1.577105494401156160e-01
1.691740756050505112e+01 1.577104945171539097e-01
1.691219063419538315e+01 1.577104395716066032e-01
1.690697705575763621e+01 1.577103845973707730e-01
1.690176779991174527e+01 1.577103296047724368e-01
1.689656217431771168e+01 1.577102745865562039e-01
1.689136023161975686e+01 1.577102195433203458e-01
1.688616214843339591e+01 1.577101644769799416e-01
1.688096789524582775e+01 1.577101093872714521e-01
1.687577731034130935e+01 1.577100542725253240e-01
1.687059032221303312e+01 1.577099991320238814e-01
1.686540747887100977e+01 1.577099439716432294e-01
1.686022810725287258e+01 1.577098887842683372e-01
1.685505272034700397e+01 1.577098335754106018e-01
1.684988080073665984e+01 1.577097783395961517e-01
1.684471276941300033e+01 1.577097230813649664e-01
1.683954848832926032e+01 1.577096677992902152e-01
1.683438797619886174e+01 1.577096124936195054e-01
1.682923123208782101e+01 1.577095571643905014e-01
1.682407795409362450e+01 1.577095018084060940e-01
1.681892856800977398e+01 1.577094464302847554e-01
1.681378293501316179e+01 1.577093910285836398e-01
1.680864113804107518e+01 1.577093356042449657e-01
1.680350282706627141e+01 1.577092801535401045e-01
1.679836833084709014e+01 1.577092246800609610e-01
1.679323735859690458e+01 1.577091691807108453e-01
1.678811028686963880e+01 1.577091136596094623e-01
1.678298686169340570e+01 1.577090581140556946e-01
1.677786704500900683e+01 1.577090025436808096e-01
1.677275096316085623e+01 1.577089469499016738e-01
1.676763846622613841e+01 1.577088913311343876e-01
1.676252990788240282e+01 1.577088356912760003e-01
1.675742462177937497e+01 1.577087800231124493e-01
1.675232338042752644e+01 1.577087243351128487e-01
1.674722563801939756e+01 1.577086686213689526e-01
1.674213139588864863e+01 1.577086128819352451e-01
1.673704110213515506e+01 1.577085571217633209e-01
1.673195426437077415e+01 1.577085013355072618e-01
1.672687123353728467e+01 1.577084455270611751e-01
1.672179170556794148e+01 1.577083896931328610e-01
1.671671575810835719e+01 1.577083338346180752e-01
1.671164338519055548e+01 1.577082779514948352e-01
1.670657489033283838e+01 1.577082220471565654e-01
1.670151013147819796e+01 1.577081661200890883e-01
1.669644855549762141e+01 1.577081101642240912e-01
1.669139087503628005e+01 1.577080541874827380e-01
1.668633691356534499e+01 1.577079981879644377e-01
1.668128631753911506e+01 1.577079421617949284e-01
1.667623948254144395e+01 1.577078861134065257e-01
1.667119604539563582e+01 1.577078300388107535e-01
1.666615641046141505e+01 1.577077739425492842e-01
1.666112026303473215e+01 1.577077178211667430e-01
1.665608753702603195e+01 1.577076616739671866e-01
1.665105874514049944e+01 1.577076055067197224e-01
1.664603318745387384e+01 1.577075493116524840e-01
1.664101156557508077e+01 1.577074930966568256e-01
1.663599333876570796e+01 1.577074368557283279e-01
1.663097874053962144e+01 1.577073805915275295e-01
1.662596747350400150e+01 1.577073243007599546e-01
1.662095989884645419e+01 1.577072679875263783e-01
1.661595585692066024e+01 1.577072116500791155e-01
1.661095526391328647e+01 1.577071552875177474e-01
1.660595857358432781e+01 1.577070989050068650e-01
1.660096530744829124e+01 1.577070424971973861e-01
1.659597540549493644e+01 1.577069860634512377e-01
1.659098917938203499e+01 1.577069296073377591e-01
1.658600643809749187e+01 1.577068731267415591e-01
1.658102709309232736e+01 1.577068166207008237e-01
1.657605145674776281e+01 1.577067600928069302e-01
1.657107933811508005e+01 1.577067035409394635e-01
1.656611056446995889e+01 1.577066469631758505e-01
1.656114535180261527e+01 1.577065903620184228e-01
1.655618378334835228e+01 1.577065337384651045e-01
1.655122550888004085e+01 1.577064770885626688e-01
1.654627089544760921e+01 1.577064204165491701e-01
1.654131963517857784e+01 1.577063637189487222e-01
1.653637203814254164e+01 1.577063069993577538e-01
1.653142795497277362e+01 1.577062502561129009e-01
1.652648720264023297e+01 1.577061934871563098e-01
1.652154979613815655e+01 1.577061366926998387e-01
1.651661612388489431e+01 1.577060798772589867e-01
1.651168590902277344e+01 1.577060230376953198e-01
1.650675909728813195e+01 1.577059661734268869e-01
1.650183556533004392e+01 1.577059092830701836e-01
1.649691580444476102e+01 1.577058523723495198e-01
1.649199939793773240e+01 1.577057954364938508e-01
1.648708637734485194e+01 1.577057384759101566e-01
1.648217683944406531e+01 1.577056814917647543e-01
1.647727072904434564e+01 1.577056244834623422e-01
1.647236812462575628e+01 1.577055674519609041e-01
1.646746888452468838e+01 1.577055103956571391e-01
1.646257296424214189e+01 1.577054533140741788e-01
1.645768057938349216e+01 1.577053962097705042e-01
1.645279182545467833e+01 1.577053390839119607e-01
1.644790620122121894e+01 1.577052819306845877e-01
1.644302406260317895e+01 1.577052247542926056e-01
1.643814553327199945e+01 1.577051675562343158e-01
