# redshift     age[Myr]
1.684471276941300033e+01 2.303078542017658492e+02
1.683954848832926032e+01 2.304078539686306613e+02
1.683438797619886174e+01 2.305078530549703828e+02
1.682923123208782101e+01 2.306078513936620595e+02
1.682407795409362450e+01 2.307078547601639400e+02
1.681892856800977398e+01 2.308078548099460363e+02
1.681378293501316179e+01 2.309078541511051981e+02
1.680864113804107518e+01 2.310078510850970872e+02
1.680350282706627141e+01 2.311078523379596277e+02
1.679836833084709014e+01 2.312078514305309227e+02
1.679323735859690458e+01 2.313078539443434352e+02
1.678811028686963880e+01 2.314078524566477597e+02
1.678298686169340570e+01 2.315078518345029863e+02
1.677786704500900683e+01 2.316078527403840894e+02
1.677275096316085623e+01 2.317078526241809016e+02
1.676763846622613841e+01 2.318078543343683577e+02
1.676252990788240282e+01 2.319078508665741367e+02
1.675742462177937497e+01 2.320078551842900652e+02
1.675232338042752644e+01 2.321078520730736443e+02
1.674722563801939756e+01 2.322078521449947743e+02
1.674213139588864863e+01 2.323078552981832559e+02
1.673704110213515506e+01 2.324078526508496338e+02
1.673195426437077415e+01 2.325078537913379080e+02
1.672687123353728467e+01 2.326078517389553895e+02
1.672179170556794148e+01 2.327078523928826428e+02
1.671671575810835719e+01 2.328078541465004889e+02
1.671164338519055548e+01 2.329078570377540132e+02
1.670657489033283838e+01 2.330078549966827381e+02
1.670151013147819796e+01 2.331078507364156565e+02
1.669644855549762141e+01 2.332078551026747846e+02
1.669139087503628005e+01 2.333078539369057580e+02
1.668633691356534499e+01 2.334078506394894816e+02
1.668128631753911506e+01 2.335078521268486895e+02
1.667623948254144395e+01 2.336078504866880508e+02
1.667119604539563582e+01 2.337078528344678716e+02
1.666615641046141505e+01 2.338078510709285638e+02
1.666112026303473215e+01 2.339078513570057680e+02
1.665608753702603195e+01 2.340078549294500476e+02
1.665105874514049944e+01 2.341078515153298838e+02
1.664603318745387384e+01 2.342078549512382608e+02
1.664101156557508077e+01 2.343078511944655418e+02
1.663599333876570796e+01 2.344078509278769218e+02
1.663097874053962144e+01 2.345078494196609142e+02
1.662596747350400150e+01 2.346078525230173000e+02
1.662095989884645419e+01 2.347078529514998877e+02
1.661595585692066024e+01 2.348078538101182176e+02
1.661095526391328647e+01 2.349078566957750240e+02
1.660595857358432781e+01 2.350078524480825877e+02
1.660096530744829124e+01 2.351078505571030632e+02
1.659597540549493644e+01 2.352078521504207060e+02
1.659098917938203499e+01 2.353078509024888945e+02
1.658600643809749187e+01 2.354078505617046346e+02
1.658102709309232736e+01 2.355078528286817630e+02
1.657605145674776281e+01 2.356078513483695360e+02
1.657107933811508005e+01 2.357078498743256603e+02
1.656611056446995889e+01 2.358078518039518485e+02
1.656114535180261527e+01 2.359078527127833240e+02
1.655618378334835228e+01 2.360078508405188416e+02
1.655122550888004085e+01 2.361078531675068177e+02
1.654627089544760921e+01 2.362078522120198727e+02
1.654131963517857784e+01 2.363078541077100851e+02
1.653637203814254164e+01 2.364078525117278957e+02
1.653142795497277362e+01 2.365078503591711865e+02
1.652648720264023297e+01 2.366078512751174685e+02
1.652154979613815655e+01 2.367078548827739723e+02
1.651661612388489431e+01 2.368078532329477923e+02
1.651168590902277344e+01 2.369078518525931827e+02
1.650675909728813195e+01 2.370078517647672243e+02
1.650183556533004392e+01 2.371078553992757918e+02
1.649691580444476102e+01 2.372078526953850997e+02
1.649199939793773240e+01 2.373078520391427730e+02
1.648708637734485194e+01 2.374078527137261005e+02
1.648217683944406531e+01 2.375078526710624089e+02
1.647727072904434564e+01 2.376078529560859636e+02
1.647236812462575628e+01 2.377078518893290777e+02
1.646746888452468838e+01 2.378078522817511669e+02
1.646257296424214189e+01 2.379078549669678750e+02
1.645768057938349216e+01 2.380078554626418565e+02
1.645279182545467833e+01 2.381078517314064413e+02
1.644790620122121894e+01 2.382078539490770765e+02
1.644302406260317895e+01 2.383078547568586316e+02
1.643814553327199945e+01 2.384078515376008340e+02
