# redshift      Om
1.700139951285419926e+01 9.996069322226207587e-01
1.699612133272674086e+01 9.996065864023296887e-01
1.699084669996097574e+01 9.996062404091584641e-01
1.698557609122797984e+01 9.996058942746537390e-01
1.698030940354091811e+01 9.996055479923753317e-01
1.697504657414632234e+01 9.996052015585024098e-01
1.696978737320839414e+01 9.996048549581777465e-01
1.696453219838061344e+01 9.996045082179004782e-01
1.695928074152325138e+01 9.996041613176431806e-01
1.695403329756545929e+01 9.996038142771916934e-01
1.694878946210487314e+01 9.996034670700915115e-01
1.694354959804734762e+01 9.996031197206595165e-01
1.693831368966657536e+01 9.996027722281813910e-01
1.693308134731217507e+01 9.996024245670800390e-01
1.692785279028912981e+01 9.996020767521905936e-01
1.692262841802028461e+01 9.996017288104196430e-01
1.691740756050505112e+01 9.996013806974516358e-01
1.691219063419538315e+01 9.996010324413313608e-01
1.690697705575763621e+01 9.996006840033770935e-01
1.690176779991174527e+01 9.996003354490375914e-01
1.689656217431771168e+01 9.995999867323269727e-01
1.689136023161975686e+01 9.995996378570366492e-01
1.688616214843339591e+01 9.995992888353050221e-01
1.688096789524582775e+01 9.995989396654615389e-01
1.687577731034130935e+01 9.995985903369246639e-01
1.687059032221303312e+01 9.995982408451451473e-01
1.686540747887100977e+01 9.995978912273670858e-01
1.686022810725287258e+01 9.995975414384939972e-01
1.685505272034700397e+01 9.995971915134586050e-01
1.684988080073665984e+01 9.995968414175655514e-01
1.684471276941300033e+01 9.995964911795908181e-01
1.683954848832926032e+01 9.995961407904907503e-01
1.683438797619886174e+01 9.995957902518347593e-01
1.682923123208782101e+01 9.995954395638612100e-01
1.682407795409362450e+01 9.995950887063065338e-01
1.681892856800977398e+01 9.995947377084436480e-01
1.681378293501316179e+01 9.995943865611273127e-01
1.680864113804107518e+01 9.995940352703291953e-01
1.680350282706627141e+01 9.995936838124168666e-01
1.679836833084709014e+01 9.995933322101566709e-01
1.679323735859690458e+01 9.995929804439208644e-01
1.678811028686963880e+01 9.995926285398212263e-01
1.678298686169340570e+01 9.995922764807372296e-01
1.677786704500900683e+01 9.995919242643319658e-01
1.677275096316085623e+01 9.995915718995853627e-01
1.676763846622613841e+01 9.995912193764594500e-01
1.676252990788240282e+01 9.995908667196534703e-01
1.675742462177937497e+01 9.995905138834434434e-01
1.675232338042752644e+01 9.995901609215084305e-01
1.674722563801939756e+01 9.995898077964009421e-01
1.674213139588864863e+01 9.995894545084665905e-01
1.673704110213515506e+01 9.995891010890886053e-01
1.673195426437077415e+01 9.995887475043843118e-01
1.672687123353728467e+01 9.995883937790349671e-01
1.672179170556794148e+01 9.995880398921741516e-01
1.671671575810835719e+01 9.995876858494789907e-01
1.671164338519055548e+01 9.995873316508107065e-01
1.670657489033283838e+01 9.995869773176770945e-01
1.670151013147819796e+01 9.995866228404810538e-01
1.669644855549762141e+01 9.995862681807604622e-01
1.669139087503628005e+01 9.995859133887216030e-01
1.668633691356534499e+01 9.995855584523174464e-01
1.668128631753911506e+01 9.995852033469924125e-01
1.667623948254144395e+01 9.995848481008395847e-01
1.667119604539563582e+01 9.995844926885792958e-01
1.666615641046141505e+01 9.995841371389970753e-01
1.666112026303473215e+01 9.995837814301925528e-01
1.665608753702603195e+01 9.995834255577544791e-01
1.665105874514049944e+01 9.995830695582487158e-01
1.664603318745387384e+01 9.995827133824154442e-01
1.664101156557508077e+01 9.995823570802715441e-01
1.663599333876570796e+01 9.995820006137603464e-01
1.663097874053962144e+01 9.995816439997443625e-01
1.662596747350400150e+01 9.995812872173427399e-01
1.662095989884645419e+01 9.995809302925472428e-01
1.661595585692066024e+01 9.995805732142801769e-01
1.661095526391328647e+01 9.995802159768346629e-01
1.660595857358432781e+01 9.995798586129454044e-01
1.660096530744829124e+01 9.995795010887085219e-01
1.659597540549493644e+01 9.995791434000791398e-01
1.659098917938203499e+01 9.995787855696814939e-01
1.658600643809749187e+01 9.995784275841073097e-01
1.658102709309232736e+01 9.995780694372602415e-01
1.657605145674776281e+01 9.995777111519036362e-01
1.657107933811508005e+01 9.995773527145973558e-01
1.656611056446995889e+01 9.995769941131562586e-01
1.656114535180261527e+01 9.995766353634404355e-01
1.655618378334835228e+01 9.995762764717744941e-01
1.655122550888004085e+01 9.995759174131026992e-01
1.654627089544760921e+01 9.995755582142865636e-01
1.654131963517857784e+01 9.995751988532950438e-01
1.653637203814254164e+01 9.995748393529230169e-01
1.653142795497277362e+01 9.995744797026279160e-01
1.652648720264023297e+01 9.995741198893665080e-01
1.652154979613815655e+01 9.995737599144816077e-01
1.651661612388489431e+01 9.995733998065935433e-01
1.651168590902277344e+01 9.995730395458100048e-01
1.650675909728813195e+01 9.995726791284427204e-01
1.650183556533004392e+01 9.995723185457227045e-01
1.649691580444476102e+01 9.995719578339316014e-01
1.649199939793773240e+01 9.995715969628296005e-01
1.648708637734485194e+01 9.995712359349961940e-01
1.648217683944406531e+01 9.995708747578240239e-01
1.647727072904434564e+01 9.995705134275399972e-01
1.647236812462575628e+01 9.995701519502155907e-01
1.646746888452468838e+01 9.995697903156891551e-01
1.646257296424214189e+01 9.995694285209376639e-01
1.645768057938349216e+01 9.995690665821780341e-01
1.645279182545467833e+01 9.995687045067987997e-01
1.644790620122121894e+01 9.995683422579507704e-01
1.644302406260317895e+01 9.995679798622805201e-01
1.643814553327199945e+01 9.995676173292846745e-01
